operation,label,is_unspecified_target,is_broadcast_target,macs_per_ip,sender_ip_frequency,hour,minute,second
0,0,0,0,64,411,14,52,12
1,1,0,0,65,388,14,52,29
0,0,0,0,118,607,14,52,11
1,1,0,0,3,4,14,52,12
0,0,0,0,65,388,14,52,6
0,0,0,0,1,3,14,52,21
1,1,0,1,2,2,14,52,15
0,0,0,0,8,37,14,52,16
0,0,0,0,85,572,14,52,18
0,0,0,0,111,614,14,52,15
0,0,0,0,65,388,14,52,11
0,0,0,0,8,37,14,52,24
0,0,0,0,79,483,14,52,17
0,0,0,0,111,614,14,52,21
0,0,0,0,79,483,14,52,20
0,0,0,0,3,10,14,52,28
0,0,0,0,1,2,14,52,28
0,0,0,0,79,483,14,52,23
0,0,0,0,4,15,14,52,25
0,0,0,0,111,614,14,52,16
1,1,0,0,80,194,14,52,13
0,0,0,0,5,14,14,52,13
0,0,0,0,118,607,14,52,8
1,1,0,0,111,614,14,52,15
0,0,0,0,64,411,14,52,11
0,0,0,0,2,13,14,52,19
0,0,0,0,111,614,14,52,6
0,0,0,0,1,3,14,52,23
0,0,0,0,2,8,14,52,6
0,0,0,0,80,194,14,52,16
0,0,0,0,85,572,14,52,10
0,0,0,0,5,25,14,52,21
0,0,0,0,65,388,14,52,13
0,0,0,0,2,6,14,52,9
0,0,0,0,111,614,14,52,17
0,0,0,0,3,6,14,52,8
0,0,0,0,80,194,14,52,15
1,0,0,1,2,3,14,52,30
0,0,0,0,4,15,14,52,17
1,1,0,0,118,607,14,52,7
1,1,0,0,79,483,14,52,24
0,0,0,0,1,4,14,52,25
1,1,0,0,3,9,14,52,29
1,1,0,0,79,483,14,52,17
0,0,0,0,118,607,14,52,17
0,0,0,0,1,1,14,52,12
0,0,0,0,1,1,14,52,23
0,0,0,0,65,388,14,52,28
1,1,0,0,2,9,14,52,26
0,0,0,0,65,388,14,52,10
0,0,0,0,2,4,14,52,6
1,0,0,1,1,1,14,52,19
0,0,0,0,2,13,14,52,13
1,0,0,1,4,18,14,52,26
0,0,0,0,80,194,14,52,16
1,1,0,0,118,607,14,52,29
0,0,0,0,1,2,14,52,23
0,0,0,0,118,607,14,52,28
1,1,0,0,118,607,14,52,12
1,1,0,0,85,572,14,52,30
0,0,0,0,1,7,14,52,14
0,0,0,0,64,411,14,52,6
0,0,0,0,65,388,14,52,20
0,0,0,0,111,614,14,52,23
0,0,0,0,1,3,14,52,17
0,0,0,0,65,388,14,52,18
0,0,0,0,2,11,14,52,9
0,0,0,0,111,614,14,52,6
0,0,0,0,1,3,14,52,23
0,0,0,0,85,572,14,52,13
0,0,0,0,79,483,14,52,23
1,1,0,0,85,572,14,52,8
0,0,0,0,64,411,14,52,28
0,0,0,0,111,614,14,52,9
0,0,0,0,118,607,14,52,7
0,0,0,0,79,483,14,52,27
0,0,0,0,3,5,14,52,8
0,0,0,0,64,411,14,52,8
0,0,0,0,1,4,14,52,23
0,0,0,0,5,26,14,52,11
0,0,0,0,111,614,14,52,8
0,0,0,0,118,607,14,52,21
0,0,0,0,85,572,14,52,13
0,0,0,0,118,607,14,52,23
0,0,0,0,111,614,14,52,24
0,0,0,0,111,614,14,52,8
0,0,0,0,85,572,14,52,16
0,0,0,0,64,411,14,52,7
0,0,0,0,2,9,14,52,26
0,0,0,0,1,2,14,52,8
0,0,0,0,2,9,14,52,28
0,0,0,0,1,6,14,52,20
0,0,0,0,111,614,14,52,13
0,0,0,0,118,607,14,52,20
1,0,0,1,3,9,14,52,24
0,0,0,0,4,8,14,52,26
1,1,0,1,2,3,14,52,16
0,0,0,0,1,1,14,52,11
0,0,0,0,118,607,14,52,17
0,0,0,0,79,483,14,52,27
1,0,0,1,1,1,14,52,28
0,0,0,0,2,3,14,52,27
0,0,0,0,7,39,14,52,8
1,0,0,1,1,2,14,52,16
1,1,0,0,2,6,14,52,28
1,1,0,0,111,614,14,52,22
0,0,0,0,85,572,14,52,29
1,1,0,0,4,18,14,52,28
1,0,0,1,2,5,14,52,27
0,0,0,0,5,17,14,52,15
0,0,0,0,65,388,14,52,27
0,0,0,0,79,483,14,52,22
1,1,0,0,2,5,14,52,8
0,0,0,0,79,483,14,52,6
0,0,0,0,65,388,14,52,28
0,0,0,0,3,9,14,52,29
0,0,0,0,85,572,14,52,29
1,1,0,0,111,614,14,52,13
0,0,0,0,79,483,14,52,26
0,0,0,0,1,1,14,52,23
1,1,0,0,8,37,14,52,24
0,0,0,0,4,11,14,52,24
0,0,0,0,111,614,14,52,28
1,0,0,1,1,2,14,52,23
0,0,0,0,118,607,14,52,14
1,1,0,0,4,10,14,52,30
0,0,0,0,65,388,14,52,28
0,0,0,0,111,614,14,52,9
1,1,0,0,85,572,14,52,28
0,0,0,0,85,572,14,52,13
0,0,0,0,111,614,14,52,11
1,1,0,0,5,25,14,52,20
0,0,0,0,4,14,14,52,25
0,0,0,0,118,607,14,52,19
1,1,0,0,111,614,14,52,29
0,0,0,0,111,614,14,52,13
0,0,0,0,1,2,14,52,8
0,0,0,0,85,572,14,52,27
0,0,0,0,65,388,14,52,22
1,1,0,0,118,607,14,52,8
1,0,0,1,2,4,14,52,8
1,1,0,0,65,388,14,52,15
0,0,0,0,85,572,14,52,17
1,1,0,0,79,483,14,52,18
0,0,0,0,65,388,14,52,9
1,1,0,0,4,11,14,52,23
0,0,0,0,118,607,14,52,29
0,0,0,0,64,411,14,52,10
1,1,0,0,65,388,14,52,6
0,0,0,0,1,2,14,52,18
1,1,0,0,4,19,14,52,13
0,0,0,0,85,572,14,52,27
0,0,0,0,85,572,14,52,8
0,0,0,0,1,1,14,52,7
0,0,0,0,1,6,14,52,6
0,0,0,0,1,3,14,52,17
0,0,0,0,85,572,14,52,11
0,0,0,0,64,411,14,52,16
0,0,0,0,6,18,14,52,27
0,0,0,0,4,19,14,52,7
0,0,0,0,65,388,14,52,16
1,1,0,0,80,194,14,52,26
0,0,0,0,1,1,14,52,12
1,1,0,0,118,607,14,52,19
0,0,0,0,2,8,14,52,29
0,0,0,0,1,1,14,52,25
1,1,0,0,111,614,14,52,12
0,0,0,0,111,614,14,52,19
0,0,0,0,111,614,14,52,21
0,0,0,0,64,411,14,52,15
1,1,0,0,79,483,14,52,27
0,0,0,0,118,607,14,52,16
0,0,0,0,111,614,14,52,25
0,0,0,0,1,7,14,52,21
0,0,0,0,5,20,14,52,7
0,0,0,0,2,5,14,52,19
1,0,0,1,1,8,14,52,8
0,0,0,0,80,194,14,52,27
1,1,0,1,3,3,14,52,28
0,0,0,0,111,614,14,52,13
0,0,0,1,1,7,14,52,11
0,0,0,0,1,3,14,52,28
0,0,0,0,79,483,14,52,18
0,0,0,0,1,6,14,52,12
1,1,0,0,6,18,14,52,15
0,0,0,0,1,7,14,52,20
0,0,0,1,2,4,14,52,21
0,0,0,0,3,14,14,52,19
0,0,0,0,118,607,14,52,17
0,0,0,0,111,614,14,52,24
1,1,0,0,5,10,14,52,30
0,0,0,0,111,614,14,52,21
0,0,0,0,85,572,14,52,20
0,0,0,0,64,411,14,52,24
0,0,0,0,79,483,14,52,22
0,0,0,0,85,572,14,52,21
1,0,0,1,80,194,14,52,29
0,0,0,0,65,388,14,52,24
0,0,0,0,79,483,14,52,29
1,1,0,0,111,614,14,52,12
0,0,0,0,85,572,14,52,11
0,0,0,0,111,614,14,52,28
0,0,0,0,3,9,14,52,10
0,0,0,0,85,572,14,52,8
0,0,0,0,5,25,14,52,16
0,0,0,0,79,483,14,52,29
0,0,0,0,2,4,14,52,22
0,0,0,0,1,5,14,52,23
1,1,0,0,4,11,14,52,22
0,0,0,0,2,11,14,52,29
0,0,0,0,85,572,14,52,24
0,0,0,0,4,8,14,52,26
1,1,0,0,2,2,14,52,30
0,0,0,0,118,607,14,52,8
0,0,0,0,1,3,14,52,13
0,0,0,0,3,6,14,52,13
0,0,0,0,65,388,14,52,7
0,0,0,0,2,17,14,52,16
1,1,0,1,2,3,14,52,12
0,0,0,0,79,483,14,52,28
0,0,0,0,64,411,14,52,13
0,0,0,0,80,194,14,52,27
0,0,0,0,80,194,14,52,9
0,0,0,0,2,17,14,52,24
0,0,0,0,6,17,14,52,23
0,0,0,0,64,411,14,52,6
1,1,0,0,85,572,14,52,23
1,1,0,0,79,483,14,52,10
1,1,0,0,79,483,14,52,10
0,0,0,0,118,607,14,52,29
1,1,0,0,2,4,14,52,11
0,0,0,0,80,194,14,52,25
0,0,0,0,5,26,14,52,10
0,0,0,1,1,1,14,52,17
0,0,0,0,85,572,14,52,25
0,0,0,0,64,411,14,52,25
0,0,0,0,80,194,14,52,19
0,0,0,0,64,411,14,52,22
0,0,0,0,64,411,14,52,30
0,0,0,0,111,614,14,52,20
0,0,0,0,5,10,14,52,11
0,0,0,0,111,614,14,52,23
1,0,0,1,1,3,14,52,23
0,0,0,0,1,3,14,52,28
0,0,0,0,64,411,14,52,12
0,0,0,0,79,483,14,52,19
0,0,0,0,3,12,14,52,14
0,0,0,0,111,614,14,52,28
0,0,0,0,65,388,14,52,15
1,1,0,0,85,572,14,52,23
1,1,0,0,3,16,14,52,26
0,0,0,0,111,614,14,52,8
0,0,0,0,2,13,14,52,11
1,0,0,1,2,3,14,52,29
1,1,0,0,64,411,14,52,24
0,0,0,0,7,39,14,52,8
1,0,0,1,3,8,14,52,8
1,1,0,0,2,5,14,52,13
0,0,0,1,1,1,14,52,6
0,0,0,0,79,483,14,52,11
1,1,0,1,2,2,14,52,14
0,0,0,0,2,5,14,52,11
0,0,0,0,65,388,14,52,16
0,0,0,0,1,2,14,52,8
0,0,0,0,1,1,14,52,24
0,0,0,0,5,13,14,52,18
0,0,0,0,2,13,14,52,8
0,0,0,0,1,4,14,52,18
0,0,0,0,118,607,14,52,28
1,1,0,0,118,607,14,52,28
1,0,0,1,2,4,14,52,18
0,0,0,0,5,10,14,52,9
0,0,0,0,111,614,14,52,11
0,0,0,0,111,614,14,52,10
0,0,0,0,1,2,14,52,12
0,0,0,1,1,1,14,52,22
0,0,0,0,118,607,14,52,20
0,0,0,0,1,3,14,52,23
0,0,0,0,1,5,14,52,29
1,0,0,1,80,194,14,52,29
0,0,0,0,111,614,14,52,20
1,0,0,1,3,4,14,52,23
0,0,0,0,118,607,14,52,20
0,0,0,0,118,607,14,52,29
0,0,0,0,79,483,14,52,7
1,1,0,0,80,194,14,52,17
0,0,0,0,79,483,14,52,15
0,0,0,0,65,388,14,52,23
0,0,0,0,1,8,14,52,13
0,0,0,0,118,607,14,52,14
0,0,0,0,111,614,14,52,27
0,0,0,0,80,194,14,52,17
0,0,0,0,65,388,14,52,15
0,0,0,0,2,11,14,52,21
0,0,0,0,1,1,14,52,9
0,0,0,0,65,388,14,52,9
0,0,0,0,64,411,14,52,7
0,0,0,0,79,483,14,52,7
1,1,0,0,2,7,14,52,24
0,0,0,0,80,194,14,52,28
1,1,0,0,80,194,14,52,19
0,0,0,0,111,614,14,52,14
1,0,0,1,2,3,14,52,27
1,1,0,0,64,411,14,52,15
0,0,0,0,79,483,14,52,13
1,0,0,1,2,4,14,52,6
0,0,0,0,6,17,14,52,13
0,0,0,0,4,15,14,52,9
0,0,0,0,3,11,14,52,24
0,0,0,0,111,614,14,52,10
0,0,0,0,111,614,14,52,12
0,0,0,0,4,10,14,52,30
0,0,0,0,1,7,14,52,21
1,0,0,1,2,3,14,52,9
1,1,0,0,2,6,14,52,16
0,0,0,0,64,411,14,52,17
1,1,0,0,85,572,14,52,8
1,1,0,0,4,14,14,52,25
0,0,0,0,79,483,14,52,11
1,0,0,1,1,3,14,52,16
1,1,0,0,85,572,14,52,16
0,0,0,0,118,607,14,52,27
0,0,0,0,111,614,14,52,25
1,1,0,0,2,2,14,52,27
0,0,0,0,4,11,14,52,10
0,0,0,0,1,4,14,52,28
1,1,0,1,2,2,14,52,27
0,0,0,0,2,13,14,52,15
0,0,0,0,85,572,14,52,23
1,1,0,0,65,388,14,52,29
0,0,0,0,111,614,14,52,7
0,0,0,0,118,607,14,52,30
0,0,0,0,1,3,14,52,10
0,0,0,0,1,1,14,52,17
0,0,0,0,1,7,14,52,6
0,0,0,0,1,1,14,52,26
1,1,0,0,2,7,14,52,14
0,0,0,0,79,483,14,52,8
0,0,0,0,118,607,14,52,23
0,0,0,0,79,483,14,52,21
0,0,0,0,79,483,14,52,18
1,1,0,0,2,4,14,52,15
0,0,0,0,3,14,14,52,15
0,0,0,0,2,13,14,52,21
0,0,0,0,5,26,14,52,11
0,0,0,0,118,607,14,52,24
0,0,0,0,5,26,14,52,17
0,0,0,0,85,572,14,52,11
0,0,0,0,118,607,14,52,10
0,0,0,0,4,10,14,52,25
1,1,0,1,2,2,14,52,13
0,0,0,0,64,411,14,52,25
0,0,0,0,85,572,14,52,19
1,1,0,0,7,39,14,52,9
0,0,0,0,2,11,14,52,27
0,0,0,0,111,614,14,52,12
0,0,0,0,4,10,14,52,20
0,0,0,0,1,4,14,52,28
0,0,0,0,1,2,14,52,9
1,1,0,0,2,6,14,52,7
0,0,0,0,64,411,14,52,6
0,0,0,0,3,7,14,52,21
0,0,0,0,85,572,14,52,26
0,0,0,0,1,1,14,52,11
0,0,0,0,64,411,14,52,24
0,0,0,0,118,607,14,52,9
0,0,0,0,2,11,14,52,14
0,0,0,0,80,194,14,52,17
1,0,0,1,4,18,14,52,24
0,0,0,0,65,388,14,52,8
0,0,0,0,1,5,14,52,11
0,0,0,0,2,13,14,52,8
0,0,0,0,79,483,14,52,17
0,0,0,0,2,5,14,52,28
0,0,0,1,2,4,14,52,6
0,0,0,0,111,614,14,52,9
1,1,0,0,118,607,14,52,13
0,0,0,0,118,607,14,52,15
0,0,0,0,118,607,14,52,11
0,0,0,0,1,1,14,52,6
0,0,0,0,65,388,14,52,25
0,0,0,0,64,411,14,52,20
0,0,0,0,118,607,14,52,21
0,0,0,0,85,572,14,52,29
0,0,0,1,1,2,14,52,14
0,0,0,0,118,607,14,52,15
0,0,0,0,64,411,14,52,24
0,0,0,0,111,614,14,52,28
0,0,0,0,65,388,14,52,10
0,0,0,0,4,7,14,52,13
0,0,0,0,1,4,14,52,10
1,1,0,0,118,607,14,52,29
0,0,0,0,118,607,14,52,6
1,1,0,0,2,2,14,52,17
1,1,0,0,85,572,14,52,24
1,1,0,0,85,572,14,52,23
1,0,0,1,2,4,14,52,27
0,0,0,0,118,607,14,52,15
0,0,0,0,8,39,14,52,16
0,0,0,1,3,7,14,52,23
1,1,0,0,3,11,14,52,13
0,0,0,0,118,607,14,52,28
0,0,0,0,1,1,14,52,24
0,0,0,0,1,7,14,52,27
0,0,0,0,3,16,14,52,21
1,1,0,0,80,194,14,52,25
1,1,0,0,4,8,14,52,23
1,1,0,0,79,483,14,52,30
0,0,0,0,79,483,14,52,25
0,0,0,0,1,1,14,52,11
0,0,0,0,111,614,14,52,11
0,0,0,0,85,572,14,52,18
1,0,0,1,1,2,14,52,16
0,0,0,0,111,614,14,52,9
0,0,0,0,64,411,14,52,27
1,0,0,1,1,2,14,52,22
1,1,0,0,2,2,14,52,6
0,0,0,0,4,18,14,52,27
1,1,0,0,4,8,14,52,23
1,1,0,0,2,3,14,52,8
1,1,0,0,5,10,14,52,11
0,0,0,0,118,607,14,52,25
1,1,0,0,118,607,14,52,22
0,0,0,1,1,1,14,52,18
0,0,0,0,1,8,14,52,14
0,0,0,0,118,607,14,52,20
1,1,0,1,2,3,14,52,23
1,0,0,1,1,4,14,52,14
0,0,0,0,79,483,14,52,25
1,1,0,0,79,483,14,52,27
0,0,0,0,79,483,14,52,14
0,0,0,0,1,4,14,52,17
0,0,0,0,85,572,14,52,20
0,0,0,0,64,411,14,52,13
1,1,0,0,4,5,14,52,28
0,0,0,0,85,572,14,52,22
0,0,0,0,2,6,14,52,10
1,1,0,0,85,572,14,52,6
0,0,0,0,118,607,14,52,14
0,0,0,0,85,572,14,52,8
0,0,0,0,5,20,14,52,9
1,1,0,0,118,607,14,52,11
0,0,0,0,64,411,14,52,20
0,0,0,0,64,411,14,52,10
0,0,0,0,111,614,14,52,26
0,0,0,0,85,572,14,52,29
1,1,0,0,2,5,14,52,17
0,0,0,0,3,14,14,52,20
1,1,0,0,80,194,14,52,9
0,0,0,0,4,11,14,52,11
0,0,0,0,2,9,14,52,22
0,0,0,0,65,388,14,52,21
0,0,0,0,5,20,14,52,10
0,0,0,0,85,572,14,52,29
0,0,0,0,1,4,14,52,17
0,0,0,1,1,1,14,52,6
0,0,0,0,64,411,14,52,11
0,0,0,0,118,607,14,52,27
0,0,0,0,2,4,14,52,24
1,1,0,0,118,607,14,52,19
0,0,0,0,111,614,14,52,9
0,0,0,0,64,411,14,52,18
0,0,0,0,64,411,14,52,29
0,0,0,0,80,194,14,52,19
0,0,0,0,118,607,14,52,27
1,1,0,0,2,4,14,52,8
1,1,0,0,7,39,14,52,8
1,0,0,1,2,2,14,52,20
0,0,0,0,111,614,14,52,18
0,0,0,1,1,1,14,52,29
0,0,0,0,3,12,14,52,16
0,0,0,0,7,39,14,52,9
0,0,0,0,1,7,14,52,8
0,0,0,0,111,614,14,52,24
0,0,0,0,64,411,14,52,22
0,0,0,0,118,607,14,52,18
0,0,0,0,2,7,14,52,25
0,0,0,0,5,13,14,52,21
0,0,0,1,1,1,14,52,23
0,0,0,0,85,572,14,52,10
0,0,0,0,85,572,14,52,11
0,0,0,0,1,5,14,52,14
1,1,0,0,3,10,14,52,28
0,0,0,0,2,5,14,52,12
0,0,0,0,111,614,14,52,12
0,0,0,0,2,11,14,52,26
0,0,0,0,5,25,14,52,10
0,0,0,0,64,411,14,52,12
0,0,0,0,85,572,14,52,18
0,0,0,0,85,572,14,52,17
0,0,0,0,111,614,14,52,23
0,0,0,0,2,5,14,52,13
1,1,0,0,64,411,14,52,16
0,0,0,0,79,483,14,52,9
0,0,0,0,79,483,14,52,26
0,0,0,0,118,607,14,52,19
0,0,0,1,2,2,14,52,6
0,0,0,0,65,388,14,52,7
0,0,0,0,111,614,14,52,23
1,1,0,0,85,572,14,52,27
0,0,0,0,85,572,14,52,26
0,0,0,0,79,483,14,52,25
0,0,0,0,85,572,14,52,24
0,0,0,0,85,572,14,52,21
0,0,0,0,3,3,14,52,17
1,1,0,0,111,614,14,52,7
0,0,0,0,85,572,14,52,26
0,0,0,0,2,8,14,52,16
0,0,0,0,79,483,14,52,20
0,0,0,0,85,572,14,52,7
1,1,0,0,8,37,14,52,16
0,0,0,1,1,6,14,52,30
0,0,0,0,79,483,14,52,21
0,0,0,0,85,572,14,52,6
1,1,0,0,2,17,14,52,17
0,0,0,0,85,572,14,52,20
0,0,0,0,85,572,14,52,29
1,1,0,0,2,9,14,52,13
0,0,0,0,2,2,14,52,27
0,0,0,0,2,13,14,52,20
0,0,0,0,118,607,14,52,22
1,1,0,1,4,11,14,52,9
0,0,0,0,85,572,14,52,16
0,0,0,0,79,483,14,52,11
1,1,0,0,3,4,14,52,11
0,0,0,0,1,2,14,52,22
1,1,0,0,111,614,14,52,29
0,0,0,0,5,13,14,52,27
0,0,0,0,118,607,14,52,6
1,1,0,0,118,607,14,52,9
0,0,0,0,118,607,14,52,27
1,1,0,0,8,39,14,52,15
0,0,0,0,2,8,14,52,21
0,0,0,0,1,3,14,52,18
0,0,0,0,2,5,14,52,20
0,0,0,0,65,388,14,52,14
0,0,0,0,65,388,14,52,15
0,0,0,0,65,388,14,52,15
0,0,0,0,2,6,14,52,14
0,0,0,0,1,8,14,52,27
0,0,0,0,111,614,14,52,28
0,0,0,0,85,572,14,52,23
0,0,0,0,118,607,14,52,23
0,0,0,1,1,5,14,52,7
0,0,0,0,1,3,14,52,8
0,0,0,0,64,411,14,52,19
1,0,0,1,1,4,14,52,28
0,0,0,0,64,411,14,52,8
1,1,0,0,111,614,14,52,8
0,0,0,0,118,607,14,52,8
0,0,0,0,3,4,14,52,11
0,0,0,0,1,4,14,52,9
0,0,0,0,118,607,14,52,26
0,0,0,0,111,614,14,52,19
1,0,0,1,1,1,14,52,21
1,0,0,1,2,4,14,52,6
0,0,0,0,65,388,14,52,21
0,0,0,1,4,18,14,52,19
0,0,0,0,79,483,14,52,22
0,0,0,0,79,483,14,52,14
0,0,0,0,111,614,14,52,12
0,0,0,0,1,2,14,52,12
0,0,0,0,79,483,14,52,30
0,0,0,0,111,614,14,52,19
0,0,0,0,64,411,14,52,15
0,0,0,1,1,1,14,52,16
0,0,0,0,111,614,14,52,28
1,1,0,1,3,7,14,52,26
0,0,0,0,2,13,14,52,29
0,0,0,0,118,607,14,52,15
0,0,0,0,64,411,14,52,28
0,0,0,0,85,572,14,52,20
0,0,0,0,65,388,14,52,30
0,0,0,0,79,483,14,52,8
0,0,0,0,4,10,14,52,26
0,0,0,0,85,572,14,52,29
0,0,0,1,1,5,14,52,23
1,1,0,0,5,25,14,52,17
0,0,0,0,1,7,14,52,25
0,0,0,0,3,6,14,52,29
1,1,0,0,65,388,14,52,16
1,0,0,1,1,1,14,52,28
0,0,0,0,1,9,14,52,7
0,0,0,0,85,572,14,52,7
0,0,0,0,2,7,14,52,10
0,0,0,0,4,15,14,52,27
0,0,0,0,5,17,14,52,8
0,0,0,0,2,8,14,52,26
0,0,0,0,118,607,14,52,29
0,0,0,0,111,614,14,52,18
0,0,0,0,118,607,14,52,24
0,0,0,0,80,194,14,52,21
0,0,0,0,79,483,14,52,23
0,0,0,0,85,572,14,52,22
0,0,0,0,111,614,14,52,28
1,0,0,1,1,3,14,52,16
0,0,0,0,64,411,14,52,13
0,0,0,0,65,388,14,52,22
0,0,0,0,118,607,14,52,30
0,0,0,0,80,194,14,52,9
0,0,0,0,85,572,14,52,25
0,0,0,0,5,25,14,52,13
0,0,0,0,80,194,14,52,15
0,0,0,0,64,411,14,52,6
0,0,0,0,2,5,14,52,24
0,0,0,0,1,6,14,52,26
0,0,0,0,118,607,14,52,27
0,0,0,0,1,1,14,52,13
0,0,0,0,111,614,14,52,9
0,0,0,0,2,6,14,52,13
0,0,0,1,3,4,14,52,21
1,1,0,0,85,572,14,52,23
0,0,0,0,64,411,14,52,21
0,0,0,0,1,2,14,52,30
1,0,0,1,1,2,14,52,27
1,1,0,0,7,39,14,52,7
0,0,0,0,85,572,14,52,24
0,0,0,0,65,388,14,52,27
0,0,0,0,2,6,14,52,18
1,0,0,1,2,3,14,52,25
0,0,0,0,118,607,14,52,16
0,0,0,0,118,607,14,52,9
0,0,0,0,79,483,14,52,24
0,0,0,0,79,483,14,52,28
0,0,0,0,1,6,14,52,25
1,1,0,1,3,3,14,52,24
0,0,0,0,2,7,14,52,14
0,0,0,0,85,572,14,52,20
0,0,0,0,64,411,14,52,8
0,0,0,0,1,4,14,52,22
1,1,0,0,8,39,14,52,18
0,0,0,0,111,614,14,52,18
0,0,0,0,118,607,14,52,16
0,0,0,0,64,411,14,52,16
0,0,0,1,1,1,14,52,27
0,0,0,0,118,607,14,52,9
0,0,0,0,5,26,14,52,10
0,0,0,0,79,483,14,52,23
1,0,0,1,3,16,14,52,17
0,0,0,0,80,194,14,52,19
0,0,0,0,5,25,14,52,28
0,0,0,0,111,614,14,52,13
0,0,0,0,64,411,14,52,7
1,1,0,0,118,607,14,52,27
0,0,0,0,85,572,14,52,12
0,0,0,0,79,483,14,52,11
1,0,0,1,1,1,14,52,8
0,0,0,0,118,607,14,52,21
0,0,0,0,111,614,14,52,6
1,1,0,0,85,572,14,52,11
0,0,0,0,118,607,14,52,18
1,1,0,0,65,388,14,52,15
0,0,0,0,118,607,14,52,13
0,0,0,0,1,1,14,52,21
1,0,0,1,1,1,14,52,16
0,0,0,0,2,8,14,52,14
1,1,0,0,118,607,14,52,8
0,0,0,0,3,14,14,52,11
0,0,0,0,85,572,14,52,19
0,0,0,0,118,607,14,52,11
0,0,0,0,65,388,14,52,9
0,0,0,0,5,14,14,52,27
0,0,0,0,1,1,14,52,15
0,0,0,0,85,572,14,52,9
0,0,0,0,111,614,14,52,25
0,0,0,0,118,607,14,52,21
0,0,0,0,4,7,14,52,15
0,0,0,0,64,411,14,52,29
1,1,0,0,65,388,14,52,6
0,0,0,0,111,614,14,52,10
0,0,0,0,1,1,14,52,12
0,0,0,0,79,483,14,52,20
0,0,0,0,85,572,14,52,6
0,0,0,0,8,39,14,52,21
0,0,0,0,118,607,14,52,22
0,0,0,0,79,483,14,52,10
0,0,0,0,79,483,14,52,25
0,0,0,0,5,17,14,52,19
0,0,0,0,85,572,14,52,30
0,0,0,0,111,614,14,52,19
0,0,0,0,1,4,14,52,23
0,0,0,0,1,3,14,52,28
1,1,0,0,118,607,14,52,21
0,0,0,0,64,411,14,52,7
0,0,0,0,2,8,14,52,27
1,0,0,1,3,12,14,52,16
0,0,0,0,118,607,14,52,24
0,0,0,0,64,411,14,52,7
0,0,0,0,64,411,14,52,19
0,0,0,0,1,1,14,52,7
0,0,0,1,1,1,14,52,10
0,0,0,0,85,572,14,52,18
0,0,0,0,4,11,14,52,16
0,0,0,0,79,483,14,52,16
0,0,0,0,1,1,14,52,15
0,0,0,0,2,13,14,52,16
0,0,0,0,118,607,14,52,9
0,0,0,0,111,614,14,52,13
0,0,0,0,1,2,14,52,7
1,0,0,1,1,2,14,52,6
0,0,0,0,2,4,14,52,29
0,0,0,0,2,13,14,52,29
0,0,0,0,1,5,14,52,21
0,0,0,0,3,7,14,52,8
1,0,0,1,1,3,14,52,20
0,0,0,0,111,614,14,52,19
0,0,0,0,5,17,14,52,25
0,0,0,1,1,1,14,52,21
0,0,0,0,1,3,14,52,9
0,0,0,0,3,11,14,52,11
0,0,0,0,2,5,14,52,19
0,0,0,0,85,572,14,52,19
0,0,0,0,111,614,14,52,18
1,1,0,0,111,614,14,52,15
0,0,0,0,80,194,14,52,10
0,0,0,0,80,194,14,52,8
1,1,0,0,80,194,14,52,29
0,0,0,0,118,607,14,52,15
0,0,0,0,2,13,14,52,15
0,0,0,0,64,411,14,52,12
1,1,0,0,111,614,14,52,14
0,0,0,0,118,607,14,52,11
0,0,0,0,79,483,14,52,20
0,0,0,0,64,411,14,52,17
0,0,0,0,2,8,14,52,23
0,0,0,0,79,483,14,52,28
1,1,0,0,4,9,14,52,27
0,0,0,0,2,5,14,52,29
0,0,0,0,118,607,14,52,20
0,0,0,0,118,607,14,52,27
0,0,0,0,111,614,14,52,22
0,0,0,0,5,26,14,52,14
0,0,0,0,111,614,14,52,17
0,0,0,0,5,13,14,52,14
1,1,0,0,118,607,14,52,20
0,0,0,0,2,11,14,52,19
0,0,0,1,1,1,14,52,30
0,0,0,0,118,607,14,52,23
0,0,0,0,64,411,14,52,24
0,0,0,0,118,607,14,52,20
0,0,0,0,1,1,14,52,12
0,0,0,0,85,572,14,52,27
0,0,0,0,111,614,14,52,25
1,1,0,0,118,607,14,52,29
0,0,0,0,111,614,14,52,16
0,0,0,0,1,1,14,52,14
0,0,0,0,1,3,14,52,11
0,0,0,0,1,2,14,52,27
1,1,0,1,2,2,14,52,20
1,1,0,0,111,614,14,52,16
0,0,0,0,4,10,14,52,24
0,0,0,0,7,39,14,52,7
0,0,0,1,2,2,14,52,15
0,0,0,0,118,607,14,52,12
0,0,0,0,8,37,14,52,6
0,0,0,0,80,194,14,52,26
0,0,0,0,118,607,14,52,12
0,0,0,0,1,2,14,52,19
1,1,0,0,2,2,14,52,24
0,0,0,0,1,4,14,52,26
0,0,0,0,3,8,14,52,13
0,0,0,0,1,1,14,52,12
0,0,0,0,5,17,14,52,10
0,0,0,0,80,194,14,52,18
0,0,0,0,79,483,14,52,12
0,0,0,0,5,17,14,52,21
0,0,0,0,5,25,14,52,22
0,0,0,0,65,388,14,52,7
0,0,0,0,64,411,14,52,6
1,1,0,0,64,411,14,52,10
0,0,0,0,85,572,14,52,20
1,0,0,1,1,1,14,52,18
0,0,0,0,79,483,14,52,19
0,0,0,0,118,607,14,52,18
1,1,0,0,80,194,14,52,11
